"titles","links","doi","date_published","citations","cran","bioconductor","repo_link","package_install","package_name"
"NLMpy: a python software package for the creation of neutral landscape models within a general numerical framework","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12308","2041-210X.12308","2014-11-13",43,FALSE,FALSE,NA,FALSE,"NLMpy"
"PASTIS: an R package to facilitate phylogenetic assembly with soft taxonomic inferences","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12117","2041-210X.12117","2013-09-24",61,TRUE,FALSE,NA,FALSE,"PASTIS"
"PHYLOMETRICS: an R package for detecting macroevolutionary patterns, using phylogenetic metrics and backward tree simulation","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12531","2041-210X.12531","2015-12-29",17,TRUE,FALSE,NA,FALSE,"PHYLOMETRICS"
"Emon: an R-package to support the design of marine ecological and environmental studies, surveys and monitoring programmes","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12748","2041-210X.12748","2017-01-28",9,FALSE,FALSE,NA,FALSE,"Emon"
"LandScape Corridors (lscorridors): a new software package for modelling ecological corridors based on landscape patterns and species requirements","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12750","2041-210X.12750","2017-02-02",24,FALSE,FALSE,"https://github.com/LEEClab/LS_CORRIDORS",FALSE,NA
"Rphylip: an R interface for PHYLIP","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12233","2041-210X.12233","2014-07-19",40,TRUE,FALSE,"http://github.com/liamrevell/Rphylip",FALSE,"Rphylip"
"qfasar: quantitative fatty acid signature analysis with R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12740","2041-210X.12740","2017-01-23",32,TRUE,FALSE,NA,FALSE,"qfasar"
"paco: implementing Procrustean Approach to Cophylogeny in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12736","2041-210X.12736","2017-01-24",45,TRUE,FALSE,"http://github.com/PoisotLab/paco",FALSE,"paco"
"Synchrony: quantifying variability in space and time","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12188","2041-210X.12188","2014-03-28",77,FALSE,FALSE,NA,FALSE,"Synchrony"
"SIDIER: substitution and indel distances to infer evolutionary relationships","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12118","2041-210X.12118","2013-09-24",19,FALSE,FALSE,NA,FALSE,"SIDIER"
"EasyABC: performing efficient approximate Bayesian computation sampling schemes using R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12050","2041-210X.12050","2013-03-11",46,FALSE,FALSE,NA,FALSE,"EasyABC"
"PopGenReport: simplifying basic population genetic analyses in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12158","2041-210X.12158","2014-01-15",312,TRUE,FALSE,NA,TRUE,"PopGenReport"
"rptR: repeatability estimation and variance decomposition by generalized linear mixed-effects models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12797","2041-210X.12797","2017-04-21",725,TRUE,FALSE,"https://github.com/mastoffel/rptR",FALSE,"rptR"
"Animal social network inference and permutations for ecologists in R using asnipe","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12121","2041-210X.12121","2013-09-30",185,FALSE,FALSE,NA,FALSE,NA
"Cheddar: analysis and visualisation of ecological communities in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12005","2041-210X.12005","2012-11-23",68,TRUE,FALSE,"https://github.com/quicklizard99/cheddar/",FALSE,"Cheddar"
"fuzzySim: applying fuzzy logic to binary similarity indices in ecology","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12372","2041-210X.12372","2015-03-14",72,FALSE,FALSE,NA,FALSE,"fuzzySim"
"Implementing the trinomial mark–recapture–recovery model in program mark","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.2041-210X.2012.00265.x","j.2041-210X.2012.00265.x","2012-12-13",3,FALSE,FALSE,NA,FALSE,NA
"stagePop: modelling stage-structured populations in r","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12445","2041-210X.12445","2015-07-24",11,TRUE,FALSE,"https://github.com/HelenKettle/StagePop",TRUE,"stagePop"
"boral – Bayesian Ordination and Regression Analysis of Multivariate Abundance Data in r","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12514","2041-210X.12514","2015-11-27",172,TRUE,FALSE,NA,FALSE,NA
"agTrend: A Bayesian approach for estimating trends of aggregated abundance","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12231","2041-210X.12231","2014-07-18",16,FALSE,FALSE,"https://github.com/NMML/agTrend/tree/master/data_proc",FALSE,"agTrend"
"rSPACE: Spatially based power analysis for conservation and ecology","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12369","2041-210X.12369","2015-03-11",14,TRUE,FALSE,"http://github.com/mmellis/rSPACE",FALSE,"rSPACE"
"piecewiseSEM: Piecewise structural equation modelling in r for ecology, evolution, and systematics","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12512","2041-210X.12512","2015-11-26",1656,TRUE,FALSE,"https://github.com/jslefche/piecewiseSEM",FALSE,"piecewiseSEM"
"Bayesian hierarchical models for spatially misaligned data in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12189","2041-210X.12189","2014-05-10",13,TRUE,FALSE,NA,FALSE,NA
"MatlabHTK: a simple interface for bioacoustic analyses using hidden Markov models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12688","2041-210X.12688","2016-10-18",9,FALSE,FALSE,"https://github.com/LouisRanjard/matlabHTK",FALSE,"MatlabHTK"
"A simple approach for maximizing the overlap of phylogenetic and comparative data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12517","2041-210X.12517","2015-11-30",26,TRUE,FALSE,"https://github.com/traitecoevo/phyndr",FALSE,NA
"Congruification: support for time scaling large phylogenetic trees","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12051","2041-210X.12051","2013-03-18",42,FALSE,FALSE,NA,FALSE,"Congruification"
"Terrestrial Precipitation Analysis (TPA): A resource for characterizing long-term precipitation regimes and extremes","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12582","2041-210X.12582","2016-04-25",18,FALSE,FALSE,NA,FALSE,NA
"Simulations of biomass dynamics in community food webs","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12713","2041-210X.12713","2016-12-09",12,FALSE,FALSE,"https://github.com/PoisotLab/BioEnergeticFoodWebs.jl",FALSE,NA
"popart: full-feature software for haplotype network construction","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12410","2041-210X.12410","2015-07-01",2637,TRUE,FALSE,"https://github.com/jessicawleigh/popart",FALSE,"popart"
"Curve Fit: a pixel-level raster regression tool for mapping spatial patterns","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12068","2041-210X.12068","2013-05-11",13,FALSE,FALSE,NA,FALSE,NA
"Similarity in spatial utilization distributions measured by the earth mover's distance","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12649","2041-210X.12649","2016-10-06",18,TRUE,FALSE,NA,FALSE,NA
"MEMGENE: Spatial pattern detection in genetic distance data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12240","2041-210X.12240","2014-08-06",70,TRUE,FALSE,NA,TRUE,"MEMGENE"
"deBInfer: Bayesian inference for dynamical models of biological systems in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12679","2041-210X.12679","2016-10-15",15,TRUE,FALSE,"https://github.com/pboesu/debinfer/issues",TRUE,"deBInfer"
"Cpw Photo Warehouse: a custom database to facilitate archiving, identifying, summarizing and managing photo data collected from camera traps","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12503","2041-210X.12503","2015-11-11",54,FALSE,FALSE,NA,FALSE,NA
"OpenMEE: Intuitive, open-source software for meta-analysis in ecology and evolutionary biology","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12708","2041-210X.12708","2016-11-29",163,FALSE,FALSE,"https://github.com/gdietz/OpenMEE",FALSE,"OpenMEE"
"MO-Phylogenetics: a phylogenetic inference software tool with multi-objective evolutionary metaheuristics","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12529","2041-210X.12529","2015-12-31",10,FALSE,FALSE,"https://github.com/cristianzambrano/MO-Phylogenetics",FALSE,"MO-Phylogenetics"
"VirtualCom: a simulation model for eco-evolutionary community assembly and invasion","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12364","2041-210X.12364","2015-03-03",14,FALSE,FALSE,NA,FALSE,"VirtualCom"
"Rphylopars: fast multivariate phylogenetic comparative methods for missing data and within-species variation","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12612","2041-210X.12612","2016-06-26",99,TRUE,FALSE,"https://github.com/ericgoolsby/Rphylopars",FALSE,"Rphylopars"
"Low-cost soil CO2 efflux and point concentration sensing systems for terrestrial ecology applications","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12426","2041-210X.12426","2015-06-22",8,FALSE,FALSE,NA,FALSE,NA
"HistMapR: Rapid digitization of historical land-use maps in R","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12788","2041-210X.12788","2017-04-05",13,FALSE,FALSE,"https://github.com/AGAuffret/HistMapR/",FALSE,"HistMapR"
"MeCa, a toolbox for the calculation of metabolism in heterogeneous streams","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12207","2041-210X.12207","2014-05-28",5,FALSE,FALSE,NA,FALSE,NA
"PyRate: a new program to estimate speciation and extinction rates from incomplete fossil data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12263","2041-210X.12263","2014-09-11",73,FALSE,FALSE,NA,FALSE,"PyRate"
"Haplostrips: revealing population structure through haplotype visualization","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12747","2041-210X.12747","2017-01-28",20,FALSE,FALSE,NA,FALSE,"Haplostrips"
"PIPITS: an automated pipeline for analyses of fungal internal transcribed spacer sequences from the Illumina sequencing platform","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12399","2041-210X.12399","2015-04-22",176,FALSE,FALSE,"https://github.com/torognes/vsearch/",FALSE,"PIPITS"
"trapper: an open source web-based application to manage camera trapping projects","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12571","2041-210X.12571","2016-04-02",35,FALSE,FALSE,NA,FALSE,"trapper"
"Using modestr to download, import and clean species distribution records","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12209","2041-210X.12209","2014-05-30",26,FALSE,FALSE,NA,FALSE,NA
"gflow: software for modelling circuit theory-based connectivity at any scale","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12689","2041-210X.12689","2016-11-18",46,FALSE,FALSE,"https://github.com/Pbleonard/gflow/releases/latest",FALSE,"gflow"
"RobOff: software for analysis of alternative land-use options and conservation actions","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12040","2041-210X.12040","2013-03-14",14,FALSE,FALSE,NA,FALSE,"RobOff"
"Tuning Geometric Morphometrics: an r tool to reduce information loss caused by surface smoothing","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12576","2041-210X.12576","2016-04-08",3,TRUE,FALSE,"https://github.com/zarquon42b/Morpho",FALSE,NA
"Harmonizing, annotating and sharing data in biodiversity–ecosystem functioning research","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210x.12009","2041-210x.12009","2012-12-20",15,FALSE,FALSE,"https://github.com/befdata/befdata",FALSE,NA
"SimAdapt: an individual-based genetic model for simulating landscape management impacts on populations","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12041","2041-210X.12041","2013-02-09",29,FALSE,FALSE,NA,FALSE,"SimAdapt"
"Improved software detection and extraction of ITS1 and ITS2 from ribosomal ITS sequences of fungi and other eukaryotes for analysis of environmental sequencing data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12073","2041-210X.12073","2013-07-19",64,FALSE,FALSE,NA,FALSE,NA
"Fitting occupancy models with E-SURGE: hidden Markov modelling of presence–absence data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12191","2041-210X.12191","2014-04-01",16,FALSE,FALSE,NA,FALSE,NA
"OEZY: Optimising EnZYme selection for best performing terminal restriction fragment length polymorphism analysis using ARB","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12463","2041-210X.12463","2015-08-24",0,FALSE,FALSE,NA,FALSE,"OEZY"
"RangeShifter: a platform for modelling spatial eco-evolutionary dynamics and species' responses to environmental changes","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12162","2041-210X.12162","2014-01-20",132,FALSE,FALSE,NA,FALSE,"RangeShifter"
"Intertwining phylogenetic trees and networks","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12760","2041-210X.12760","2017-03-07",101,TRUE,FALSE,"https://github.com/KlausVigo/phangorn",FALSE,NA
"A biochemical approach for identifying plastics exposure in live wildlife","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12277","2041-210X.12277","2014-09-12",35,FALSE,FALSE,NA,FALSE,NA
"ClickPoints: an expandable toolbox for scientific image annotation and analysis","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12702","2041-210X.12702","2016-11-04",24,FALSE,FALSE,NA,FALSE,"ClickPoints"
"Actave.net – a web-based tool for the analysis of seabird activity patterns from saltwater immersion geolocators","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12398","2041-210X.12398","2015-04-21",11,FALSE,FALSE,NA,FALSE,NA
"Plant-O-Matic: a dynamic and mobile guide to all plants of the Americas","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12548","2041-210X.12548","2016-02-09",15,FALSE,FALSE,"https://github.com/efitz/plantomatic",FALSE,"Plant-O-Matic"
"Handling biological sequences in R with the bioseq package","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13490","2041-210X.13490","2020-09-24",2,TRUE,TRUE,"https://github.com/fkeck/bioseq",FALSE,NA
"Analysing individual 3D tree structure using the R package ITSMe","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.14026","2041-210X.14026","2022-11-15",0,FALSE,FALSE,"https://github.com/InverseTampere/TreeQSM",FALSE,NA
"pathtrackr: An r package for video tracking and analysing animal movement","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13200","2041-210X.13200","2019-04-29",8,FALSE,FALSE,"https://github.com/aharmer/pathtrackr/",FALSE,"pathtrackr"
"The nlrx r package: A next-generation framework for reproducible NetLogo model analyses","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13286","2041-210X.13286","2019-08-19",19,TRUE,FALSE,"https://github.com/ropensci/software-review/issues/262",FALSE,NA
"Colonization and extinction rates estimated from temporal dynamics of ecological communities: The island r package","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13176","2041-210X.13176","2019-03-15",8,TRUE,FALSE,NA,FALSE,NA
"Monitoring ecosystem degradation using spatial data and the R package spatialwarnings","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13058","2041-210X.13058","2018-07-02",6,TRUE,FALSE,"https://github.com/spatial-ews/spatialwarnings",FALSE,NA
"assignR: An r package for isotope-based geographic assignment","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13426","2041-210X.13426","2020-05-29",8,TRUE,FALSE,"https://github.com/SPATIAL-Lab/assignR",FALSE,"assignR"
"The geodiv r package: Tools for calculating gradient surface metrics","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13677","2041-210X.13677","2021-07-22",0,TRUE,FALSE,"https://github.com/bioXgeo/geodiv",FALSE,NA
"The shape of sound: A new R package that crosses the bridge between Bioacoustics and Geometric Morphometrics","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13580","2041-210X.13580","2021-02-22",1,TRUE,FALSE,"https://github.com/p-rocha/SoundShape",FALSE,NA
"dispRity: A modular R package for measuring disparity","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13022","2041-210X.13022","2018-04-28",72,TRUE,FALSE,"https://github.com/tguillerme/dispRity",FALSE,"dispRity"
"Quantifying vegetation and canopy structural complexity from terrestrial LiDAR data using the forestr r package","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13061","2041-210X.13061","2018-07-07",53,TRUE,FALSE,"https://github.com/atkinsjeff/forestr",FALSE,NA
"colorist: An r package for colouring wildlife distributions in space–time","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13477","2041-210X.13477","2020-08-29",0,TRUE,FALSE,"https://github.com/mstrimas/colorist",FALSE,"colorist"
"momentuHMM: R package for generalized hidden Markov models of animal movement","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12995","2041-210X.12995","2018-03-03",111,TRUE,FALSE,"https://github.com/bmcclintock/momentuHMM",FALSE,"momentuHMM"
"ForestGapR: An r Package for forest gap analysis from canopy height models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13211","2041-210X.13211","2019-05-18",32,TRUE,FALSE,"https://github.com/carlos-alberto-silva/ForestGapR",FALSE,"ForestGapR"
"ssdm: An r package to predict distribution of species richness and composition based on stacked species distribution models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12841","2041-210X.12841","2017-06-27",76,TRUE,FALSE,"https://github.com/sylvainschmitt/SSDM",TRUE,"ssdm"
